folder,domain_id,value,display_name,description
,parent_status,0,No parental history of etoh diagnosis,
,parent_status,1,Mother history of etoh abuse or dependence; father no etoh dx,
,parent_status,2,Mother no etoh dx; father history of abuse or dependence,
,parent_status,3,Mother and father history of etoh abuse or dependence,
,parent_status,4,Data for mother missing; father history of abuse or dependence,
,parent_status,5,Mother history of etoh abuse or dependence;  data for father missing,
,parent_status,999,"Data missing for both; or missing for one parent, and other parent is no hx",
,race,1,White,
,race,2,Black/African American,
,race,3,Hispanic/Latino,
,race,4,Asian,
,race,5,Native American/American Indian,
,race,6,Multiracial,
,race,7,Other,
,rey,1,<=1,
,rey,2,5-Feb,
,rey,3,10-Jun,
,rey,4,16-Nov,
,rey,5,>16,
,rut,0,responded no to this Rutter item,
,rut,1,responded yes to this item,
,season,1,Winter,
,season,2,Spring,
,season,3,Fall,
,season,4,Summer,
,self_entrained,1,self-selected,
,self_entrained,2,entrained,
,session,1,initial/baseline timepoint,
,session,2,6-month follow up,
,session,3,12 mo[1yr] follow up,
,session,4,18mo[1.5yr],
,session,5,24mo[2yr],
,session,6,30mo[2.5y],
,sex,0,male,
,sex,1,female,
,study_condition,1,saliva collection [DLMO assessment],
,study_condition,2,adaptation,
,study_condition,3,baseline,
,type,1,Morning type,
,type,2,Intermediate type,
,type,3,Evening type,
,yes1_no0,0,No,
,yes1_no0,1,Yes,
,bdi1,0,I do not feel sad.,
,bdi1,1,I feel sad much of the time.,
,bdi1,2,I am sad all the time.,
,bdi1,3,I am so sad or unhappy that I can't stand it.,
,bdi2,0,I am not discouraged about my future.,
,bdi2,1,I feel more discouraged about my future than I used to be.,
,bdi2,2,I do not expect things to work out for me.,
,bdi2,3,I feel my future is hopeless and will only get worse.,
,bdi3,0,I do not feel like a failure.,
,bdi3,1,I have failed more than I should have.,
,bdi3,2,"As I look back, I see a lot of failures.",
,bdi3,3,I feel I am a total failure as a person.,
,bdi4,0,I get as much pleasure as I ever did from the things I enjoy.,
,bdi4,1,I don't enjoy things as much as I used to.,
,bdi4,2,I get very little pleasure from the things I used to enjoy.,
,bdi4,3,I can't get any pleasure from the things I used to enjoy.,
,bdi5,0,I don't feel particularly guilty.,
,bdi5,1,I feel guilty over many things I have done or should have done.,
,bdi5,2,I feel quite guilty most of the time.,
,bdi5,3,I feel guilty all of the time.,
,bdi6,0,I don't feel I am being punished.,
,bdi6,1,I feel I may be punished.,
,bdi6,2,I expect to be punished.,
,bdi6,3,I feel I am being punished.,
,bdi7,0,I feel the same about myself as ever.,
,bdi7,1,I have lost confidence in myself.,
,bdi7,2,I am disappointed in myself.,
,bdi7,3,I dislike myself.,
,bdi8,0,I don't criticize or blame myself more than usual.,
,bdi8,1,I am more critical of myself than I used to be.,
,bdi8,2,I criticize myself for all of my faults.,
,bdi8,3,I blame myself for everything bad that happens.,
,bdi9,0,I don't have any thoughts of killing myself.,
,bdi9,1,"I have thoughts of killing myself, but I would not carry them out.",
,bdi9,2,I would like to kill myself.,
,bdi9,3,I would kill myself if I had the chance.,
,bdi10,0,I don't cry anymore than I used to.,
,bdi10,1,I cry more than I used to.,
,bdi10,2,I cry over every little thing.,
,bdi10,3,"I feel like crying, but I can't.",
,bdi11,0,I am no more restless or wound up than usual.,
,bdi11,1,I feel more restless or wound up than usual.,
,bdi11,2,I am so restless or agitated that it's hard to stay still.,
,bdi11,3,I am so restless or agitated that I have to keep moving or doing something.,
,bdi12,0,I have not lost interest in other people or activities.,
,bdi12,1,I am less interested in other people or things than before.,
,bdi12,2,I have lost most of my interest in other people or things.,
,bdi12,3,It's hard to get interested in anything.,
,bdi13,0,I make decisions about as well as ever.,
,bdi13,1,I find it more difficult to make decisions than usual.,
,bdi13,2,I have much greater difficulty in making decisions than I used to.,
,bdi13,3,I have trouble making any decisions.,
,bdi14,0,I do not feel I am worthless.,
,bdi14,1,I don't consider myself as worthwhile and useful as I used to.,
,bdi14,2,I feel more worthless as compared to other people.,
,bdi14,3,I feel utterly worthless.,
,bdi15,0,I have as much energy as ever.,
,bdi15,1,I have less energy than I used to have.,
,bdi15,2,I don't have enough energy to do very much.,
,bdi15,3,I don't have enough energy to do anything.,
,bdi16,0,I have not experienced any change in my sleeping pattern.,
,bdi16,1a,I sleep somewhat more than usual.,
,bdi16,1b,I sleep somewhat less than usual.,
,bdi16,2a,I sleep a lot more than usual.,
,bdi16,2b,I sleep a lot less than usual.,
,bdi16,3a,I sleep most of the day.,
,bdi16,3b,I wake up 1-2 hours early and can't get back to sleep.,
,bdi17,0,I am no more irritable than usual.,
,bdi17,1,I am more irritable than usual.,
,bdi17,2,I am much more irritable than usual.,
,bdi17,3,I am irritable all the time.,
,bdi18,0,I have not experienced any change in my appeute.,
,bdi18,1a,My appetite is somewhat less than usual.,
,bdi18,1b,My appetite is somewhat greater than usual.,
,bdi18,2a,My appetite is much less than before.,
,bdi18,2b,My appetite is much greater than usual.,
,bdi18,3a,I have no appetite at all.,
,bdi18,3b,I crave food all the time.,
,bdi19,0,I can concentrate as well as ever.,
,bdi19,1,I can't concentrate as well as usual.,
,bdi19,2,It's hard to keep my mind on anything for very long.,
,bdi19,3,I find I can't concentrate on anything.,
,bdi20,0,I am no more tired or fatigued than usual.,
,bdi20,1,I get more tired or fatigued more easily than usual.,
,bdi20,2,I am too tired or fatigued to do a lot of the things I used to do.,
,bdi20,3,I am too tired or fatigued to do most of the things I used to do.,
,adi1,1,Never,
,adi1,2,I average less than 1 drink per month,
,adi1,3,I average less than 1 drink per week,
,adi1,4,I average at least 1 drink per week,
,adi1,5,I average at least 5 drinks per week,
,adi2,1,Yes,
,adi2,2,No,
,adi2,3,Never,
,adi3,1,Less than 10 occasions,
,adi3,2,11 to 20 occasions,
,adi3,3,More than 20 occasions,
,adi3,4,Never,
,adi4,1,Yes,
,adi4,2,No,
,adi4,3,Never,
,adi5,1,Yes,
,adi5,2,No,
,adi5,3,Never,
,meq1,1,5:00 and 6:30 am,
,meq1,2,6:30 and 7:45 am,
,meq1,3,7:45 and 9:45 am,
,meq1,4,9:45 and 11:00 am,
,meq1,5,11:00 am and noon,
,meq2,1,No way!,
,meq2,2,Sort of.,
,meq2,3,Pretty easy.,
,meq2,4,It’ s a cinch! ,
,meq3,1,My best!,
,meq3,2,Okay.,
,meq3,3,Worse than usual. ,
,meq3,4,Awful! ,
,meq4,1,8:00 to 10:00 am ,
,meq4,2,11:00 am to 1:00 pm ,
,meq4,3,3:00 pm to 5:00 pm ,
,meq4,4,7:00 pm to 9:00 pm ,
,meq5,1,Morning! I am tired in the evening. ,
,meq5,2,Morning more than evening. ,
,meq5,3,Evening more than morning. ,
,meq5,4,Evening! I’m tired in the morning. ,
,meq6,1,8:00 and 9:00 pm,
,meq6,2,9:00 and 10:15 pm,
,meq6,3,10:15 pm and 12:30 am,
,meq6,4,12:30 and 1:45 am,
,meq6,5,1:45 and 3:00 am ,
,meq7,1,Outofit. ,
,meq7,2,A little dazed.,
,meq7,3,Okay.,
,meq7,4,Ready to take on the world. ,
,meq8,1,8:00 and 9:00 pm,
,meq8,2,9:00 and 10:15 pm,
,meq8,3,10:15 pm and 12:30 am,
,meq8,4,12:30 and 1:45 am,
,meq8,5,1:45 and 3:00 am ,
,meq9,1,Awful!,
,meq9,2,Not so great.,
,meq9,3,Okay (if I have to). ,
,meq9,4,"Fine, no problem! ",
,meq10,1,0 to 10 minutes,
,meq10,2,11 to 20 minutes,
,meq10,3,21 to 40 minutes,
,meq10,4,More than 40 minutes ,
,meq1rev,5,5:00 and 6:30 am,
,meq1rev,4,6:30 and 7:45 am,
,meq1rev,3,7:45 and 9:45 am,
,meq1rev,2,9:45 and 11:00 am,
,meq1rev,1,11:00 am and noon,
,meq2rev,4,No way!,
,meq2rev,3,Sort of.,
,meq2rev,2,Pretty easy.,
,meq2rev,1,It’ s a cinch! ,
,meq3rev,4,My best!,
,meq3rev,3,Okay.,
,meq3rev,2,Worse than usual. ,
,meq3rev,1,Awful! ,
,meq4rev,4,8:00 to 10:00 am ,
,meq4rev,3,11:00 am to 1:00 pm ,
,meq4rev,2,3:00 pm to 5:00 pm ,
,meq4rev,1,7:00 pm to 9:00 pm ,
,meq5rev,4,Morning! I am tired in the evening. ,
,meq5rev,3,Morning more than evening. ,
,meq5rev,2,Evening more than morning. ,
,meq5rev,1,Evening! I’m tired in the morning. ,
,meq6rev,5,8:00 and 9:00 pm,
,meq6rev,4,9:00 and 10:15 pm,
,meq6rev,3,10:15 pm and 12:30 am,
,meq6rev,2,12:30 and 1:45 am,
,meq6rev,1,1:45 and 3:00 am ,
,meq7rev,4,Outofit. ,
,meq7rev,3,A little dazed.,
,meq7rev,2,Okay.,
,meq7rev,1,Ready to take on the world. ,
,meq8rev,5,8:00 and 9:00 pm,
,meq8rev,4,9:00 and 10:15 pm,
,meq8rev,3,10:15 pm and 12:30 am,
,meq8rev,2,12:30 and 1:45 am,
,meq8rev,1,1:45 and 3:00 am ,
,meq9rev,4,Awful!,
,meq9rev,3,Not so great.,
,meq9rev,2,Okay (if I have to). ,
,meq9rev,1,"Fine, no problem! ",
,meq10rev,4,0 to 10 minutes,
,meq10rev,3,11 to 20 minutes,
,meq10rev,2,21 to 40 minutes,
,meq10rev,1,More than 40 minutes ,
